goal,objective,okr,milestone,status
1,1.1,1.1.1,a,3
1,1.1,1.1.1,b,3
1,1.1,1.1.1,c,0
1,1.1,1.1.2,a,0
1,1.1,1.1.2,b,0
1,1.2,1.2.1,a,1
1,1.2,1.2.1,b,2
1,1.2,1.2.1,c,1
2,2.1,2.1.1,a,4
2,2.1,2.1.1,b,0
2,2.1,2.1.1,c,0
2,2.1,2.1.2,a,1
2,2.1,2.1.2,b,0
2,2.1,2.1.2,c,0
3,3.1,3.1.1,a,0
3,3.1,3.1.1,b,0
3,3.1,3.1.1,c,0
3,3.1,3.1.2,a,0
3,3.1,3.1.2,b,0
3,3.1,3.1.2,c,0
3,3.2,3.2.1,a,1
3,3.2,3.2.1,b,1
3,3.2,3.2.1,c,0
4,4.1,4.1.1,a,1
4,4.1,4.1.1,b,0
4,4.1,4.1.1,c,0
4,4.2,4.2.1,a,0
4,4.2,4.2.1,b,0
4,4.2,4.2.1,c,1
5,5.1,5.1.1,a,0
5,5.1,5.1.1,b,0
5,5.1,5.1.1,c,0
5,5.2,5.2.1,a,0
5,5.2,5.2.1,b,0
5,5.2,5.2.1,c,0
6,6.1,6.1.1,a,2
6,6.1,6.1.1,b,0
6,6.1,6.1.1,c,0
6,6.2,6.2.1,a,0
6,6.2,6.2.1,b,0
6,6.2,6.2.1,c,0
7,7.1,7.1.1,a,0
7,7.1,7.1.1,b,0
7,7.1,7.1.1,c,0
7,7.1,7.1.2,a,0
7,7.1,7.1.2,b,0
7,7.1,7.1.2,c,0
8,8.1,8.1.1,a,1
8,8.1,8.1.1,b,0
8,8.1,8.1.1,c,0
8,8.1,8.1.2,a,0
8,8.1,8.1.2,b,1
8,8.1,8.1.2,c,0
9,9.1,9.1.1,a,0
9,9.1,9.1.1,b,0
9,9.1,9.1.1,c,0
9,9.1,9.1.2,a,0
9,9.1,9.1.2,b,0
9,9.1,9.1.2,c,0
10,10.1,10.1.1,a,0
10,10.1,10.1.1,b,0
10,10.1,10.1.1,c,0
10,10.2,10.2.1,a,0
10,10.2,10.2.1,b,1
10,10.2,10.2.1,c,0
10,10.3,10.3.1,a,0
10,10.3,10.3.1,b,0
10,10.3,10.3.1,c,0
10,10.4,10.4.1,a,1
10,10.4,10.4.1,b,0
10,10.4,10.4.1,c,1
10,10.5,10.5.1,a,0
10,10.5,10.5.1,b,0
10,10.5,10.5.1,c,0
10,10.6,10.6.1,a,0
10,10.6,10.6.1,b,0
10,10.6,10.6.1,c,1
10,10.7,10.7.1,a,0
10,10.7,10.7.1,b,0
10,10.7,10.7.1,c,0
